matricula,nome,salario,codigo_setor,cidade,tempo_empresa_anos,ativo
000005943,Rafael Barbosa,3766.41,RH,Porto Alegre,28,1
000003162,Otavio Ribeiro,2754.52,SUP,Joinville,21,1
000002010,Henrique Gomes,11834.13,LOG,Maringa,20,1
000007296,Diego Silva,5965.92,TI,Porto Alegre,4,1
000004163,Fernanda Almeida,21348.4,SUP,Campinas,5,1
000008426,Otavio Santos,4551.24,LOG,Curitiba,34,0
000004080,Yasmin Pereira,17462.49,COM,Porto Alegre,17,0
000004026,Vitor Lima,24963.0,SUP,Porto Alegre,0,1
000002345,Tiago Araujo,19968.58,JUR,Londrina,0,1
000000324,Douglas Rocha,24751.17,FIN,Londrina,14,0
000002733,Nathan Martins,7222.38,OPER,Campinas,29,1
000000704,Yasmin Oliveira,9063.34,TI,Londrina,26,0
000005877,Henrique Gomes,21588.3,ADM,Florianopolis,8,0
000007875,Vanessa Silva,13395.36,LOG,Florianopolis,14,1
000001651,Giovana Melo,19497.92,SUP,Porto Alegre,20,0
000000585,Samuel Souza,23193.75,FIN,Florianopolis,25,1
000004625,Nathan Melo,3278.05,JUR,Belo Horizonte,30,0
000003939,Yasmin Ribeiro,24116.96,COM,Sao Paulo,10,0
000001603,Renata Costa,2543.77,OPER,Maringa,1,0
000005581,Mariana Oliveira,22943.21,JUR,Porto Alegre,13,0
000005459,Tiago Rocha,3423.52,ADM,Florianopolis,33,0
000004165,Karen Nascimento,21745.21,JUR,Londrina,10,0
000007796,Igor Barbosa,11507.19,RH,Londrina,13,0
000005112,Nathan Almeida,11827.06,MKT,Rio de Janeiro,19,0
000006700,Mateus Gomes,8190.23,ADM,Rio de Janeiro,28,0
000004531,Elisa Teixeira,20535.53,SUP,Florianopolis,31,1
000009223,Isabela Ribeiro,2706.77,RH,Porto Alegre,29,1
000001241,Vanessa Melo,16022.24,FIN,Londrina,15,0
000005250,Aline Carvalho,12421.61,FIN,Joinville,6,1
000005045,Carlos Ferreira,22344.57,FIN,Porto Alegre,34,1
000000147,Eduardo Pereira,22882.69,JUR,Campinas,7,1
000002263,Eduardo Santos,13501.96,LOG,Londrina,28,0
000005451,Rafael Pereira,13540.7,MKT,Curitiba,4,1
000005346,Diego Nascimento,19106.21,TI,Londrina,2,0
000004259,Rafael Santos,18251.11,FIN,Florianopolis,29,1
000005360,Isabela Oliveira,3715.13,TI,Maringa,8,1
000001721,Sabrina Costa,5757.67,ADM,Joinville,6,0
000003229,Tiago Santos,14203.97,JUR,Rio de Janeiro,4,0
000008478,Sabrina Lima,12023.27,FIN,Belo Horizonte,2,0
000008262,Henrique Souza,21206.83,SUP,Sao Paulo,24,1
000003462,Henrique Souza,15678.36,ADM,Londrina,12,0
000009136,Caio Ferreira,6439.67,ADM,Londrina,1,0
000001995,Yasmin Pereira,17575.06,RH,Belo Horizonte,6,0
000003286,Karen Souza,11443.78,RH,Florianopolis,20,0
000003463,Aline Pereira,23476.39,JUR,Londrina,7,0
000008498,Nathan Santos,10072.57,FIN,Curitiba,25,1
000007617,Ana Melo,6736.22,TI,Sao Paulo,17,1
000007675,Carlos Oliveira,22342.67,JUR,Porto Alegre,31,0
000006028,Pedro Ribeiro,5777.85,RH,Joinville,20,1
000007190,Igor Nascimento,5867.68,LOG,Maringa,4,1
000008589,Bruno Teixeira,22960.8,MKT,Londrina,32,0
000005136,Mateus Ribeiro,18147.4,ADM,Belo Horizonte,1,0
000004958,Vanessa Ferreira,18919.59,TI,Joinville,5,0
000007093,Igor Araujo,13370.45,TI,Rio de Janeiro,24,0
000003035,Douglas Souza,7323.08,OPER,Maringa,21,0
000006293,Sabrina Nascimento,16731.57,ADM,Campinas,26,1
000006488,Bruno Ferreira,21448.89,LOG,Florianopolis,15,0
000001185,Pedro Souza,22833.86,TI,Belo Horizonte,24,1
000000516,Leonardo Gomes,16410.95,RH,Maringa,4,0
000004749,Daniela Lima,23567.97,FIN,Sao Paulo,11,0
000001062,Paula Rocha,3613.42,MKT,Porto Alegre,10,0
000002919,Paula Carvalho,5893.3,TI,Porto Alegre,18,1
000001400,Cecilia Pereira,8107.17,MKT,Sao Paulo,23,1
000008487,Diego Costa,12720.55,JUR,Campinas,27,0
000008310,Joao Silva,19476.76,JUR,Sao Paulo,19,0
000003002,Renata Costa,7769.17,MKT,Porto Alegre,29,1
000005002,Diego Barbosa,15859.79,RH,Florianopolis,8,1
000003205,Mariana Lima,23054.26,ADM,Curitiba,32,1
000005880,Larissa Melo,23276.03,JUR,Florianopolis,24,1
000007142,Vanessa Ribeiro,3452.64,ADM,Sao Paulo,24,0
000005857,Mariana Carvalho,24004.65,LOG,Campinas,31,1
000006401,Daniela Melo,23295.24,TI,Belo Horizonte,30,0
000004172,Caio Silva,17981.34,FIN,Porto Alegre,29,0
000002059,Rafael Ferreira,15769.86,FIN,Curitiba,7,0
000005616,Douglas Melo,11025.87,OPER,Sao Paulo,33,0
000006296,Giovana Costa,21050.19,COM,Porto Alegre,32,1
000008168,Tatiane Almeida,18827.26,RH,Sao Paulo,22,0
000006602,Sabrina Pereira,23376.39,JUR,Porto Alegre,0,0
000005069,Larissa Silva,4047.4,JUR,Campinas,26,1
000000526,Giovana Costa,5892.51,FIN,Rio de Janeiro,12,1
000000143,Leonardo Rocha,23804.81,MKT,Joinville,13,0
000009709,Mariana Souza,19198.05,TI,Porto Alegre,26,1
000004343,Cecilia Teixeira,4333.33,FIN,Sao Paulo,18,0
000000709,Diego Santos,8220.88,LOG,Curitiba,15,1
000000477,Larissa Santos,2020.55,COM,Curitiba,2,0
000006080,Nathan Rocha,20169.45,JUR,Joinville,33,1
000002966,Larissa Martins,19360.35,OPER,Londrina,21,1
000005471,Yasmin Nascimento,20750.85,LOG,Londrina,24,0
000003015,Bianca Nascimento,20505.47,ADM,Maringa,25,0
000006742,Bruno Teixeira,4651.15,SUP,Porto Alegre,15,1
000006231,Henrique Teixeira,17719.49,MKT,Campinas,26,0
000007457,Ana Nascimento,2185.82,LOG,Curitiba,20,1
000008858,Otavio Teixeira,13041.24,OPER,Sao Paulo,22,1
000003327,Joao Santos,18835.24,COM,Joinville,12,0
000006975,Nicole Ribeiro,20008.8,SUP,Curitiba,8,1
000000640,Fernanda Almeida,21110.62,SUP,Maringa,10,1
000001161,Helena Martins,17173.3,TI,Belo Horizonte,13,0
000006378,Fernanda Santos,11889.53,ADM,Rio de Janeiro,20,1
000006245,Sabrina Ferreira,18484.86,MKT,Sao Paulo,8,1
000008493,Fernanda Nascimento,22029.02,OPER,Joinville,4,1
000000959,Diego Melo,16970.94,SUP,Londrina,14,0
000006383,Rafael Santos,8550.65,RH,Sao Paulo,21,0
000004447,Helena Ribeiro,10331.5,LOG,Londrina,0,1
000003640,Daniela Ribeiro,14225.99,JUR,Londrina,20,1
000000281,Igor Rocha,17198.83,OPER,Belo Horizonte,6,1
000006944,Ana Barbosa,21574.8,LOG,Rio de Janeiro,18,0
000009318,Larissa Gomes,5220.27,COM,Rio de Janeiro,2,1
000004423,Vanessa Rocha,24775.77,RH,Porto Alegre,30,0
000007983,Larissa Almeida,18136.06,JUR,Curitiba,21,0
000001243,Nathan Ferreira,18049.45,ADM,Rio de Janeiro,31,1
000003535,Vanessa Costa,24792.67,SUP,Londrina,21,1
000003422,Joao Araujo,19378.97,JUR,Sao Paulo,33,1
000004909,Tiago Pereira,18065.72,SUP,Londrina,6,0
000009247,Willian Ribeiro,21887.85,ADM,Porto Alegre,29,0
000006656,Samuel Lima,12051.7,MKT,Porto Alegre,9,0
000004025,Nathan Pereira,18859.4,ADM,Florianopolis,6,0
000006289,Diego Carvalho,17563.13,FIN,Curitiba,6,1
000007896,Joao Costa,23725.47,RH,Campinas,21,1
000004443,Juliana Melo,7484.02,RH,Belo Horizonte,25,1
000003859,Vanessa Teixeira,23945.68,JUR,Sao Paulo,29,1
000004933,Sabrina Gomes,10321.89,RH,Sao Paulo,5,0
000005034,Larissa Rocha,7018.49,OPER,Joinville,30,1
000002745,Gabriel Ribeiro,6001.44,MKT,Londrina,19,0
000000361,Gabriel Nascimento,3273.16,SUP,Rio de Janeiro,25,0
000009529,Elisa Barbosa,20765.14,SUP,Maringa,4,0
000007871,Nathan Santos,5991.41,OPER,Rio de Janeiro,0,1
000007294,Willian Santos,2708.12,OPER,Belo Horizonte,10,0
000009474,Renata Rodrigues,21553.64,ADM,Sao Paulo,7,1
000007005,Caio Barbosa,5781.19,ADM,Belo Horizonte,19,0
000009804,Nicole Almeida,17092.46,MKT,Rio de Janeiro,31,1
000005444,Nicole Araujo,15863.19,SUP,Belo Horizonte,6,0
000000169,Paula Souza,6163.31,COM,Belo Horizonte,8,0
000000082,Tatiane Araujo,8235.58,OPER,Londrina,4,1
000009696,Rafael Melo,16874.64,FIN,Londrina,29,0
000000572,Rafael Carvalho,23612.62,FIN,Campinas,13,0
000004908,Cecilia Rodrigues,24892.34,TI,Florianopolis,32,0
000003914,Fabio Lima,9139.56,JUR,Londrina,1,0
000006190,Eduardo Rodrigues,4691.21,RH,Campinas,26,0
000007035,Yasmin Oliveira,10217.41,LOG,Porto Alegre,9,0
000008076,Sabrina Silva,4072.37,TI,Londrina,6,0
000007960,Leonardo Rocha,18697.2,COM,Joinville,31,0
000009472,Nicole Araujo,18050.57,COM,Campinas,17,0
000009871,Daniela Costa,9177.52,JUR,Rio de Janeiro,22,1
000000383,Joao Ribeiro,4759.68,ADM,Campinas,9,0
000004179,Juliana Melo,14967.41,COM,Curitiba,23,0
000007591,Vitor Carvalho,18197.45,FIN,Maringa,22,1
000002464,Mateus Almeida,8199.09,JUR,Campinas,14,1
000008999,Cecilia Oliveira,23780.95,JUR,Florianopolis,5,0
000007783,Eduardo Ferreira,23720.91,FIN,Joinville,3,0
000003206,Tiago Barbosa,23366.46,ADM,Londrina,32,0
000003452,Joao Martins,13748.27,SUP,Sao Paulo,25,0
000000418,Aline Pereira,22932.56,ADM,Londrina,34,1
000002071,Paula Rocha,17670.61,ADM,Joinville,28,0
000004037,Nicole Ferreira,5855.69,LOG,Rio de Janeiro,32,1
000004145,Daniela Carvalho,13295.78,FIN,Florianopolis,7,1
000004630,Paula Barbosa,21538.03,RH,Porto Alegre,19,1
000007165,Tiago Rodrigues,6743.13,OPER,Londrina,13,1
000009961,Douglas Rocha,20956.88,ADM,Maringa,31,0
000005123,Bianca Silva,16080.3,LOG,Porto Alegre,22,0
000000574,Ana Araujo,22452.55,FIN,Londrina,22,0
000008120,Gabriel Carvalho,13215.47,RH,Campinas,32,0
000002668,Fabio Santos,22984.13,ADM,Rio de Janeiro,16,0
000006671,Joao Melo,10483.98,LOG,Londrina,11,1
000005018,Gabriel Gomes,17025.69,MKT,Rio de Janeiro,8,1
000008737,Giovana Silva,10134.29,TI,Sao Paulo,12,1
000001534,Carlos Lima,10953.47,LOG,Curitiba,10,0
000003317,Joao Rodrigues,4555.98,MKT,Campinas,31,0
000008068,Willian Melo,13443.12,JUR,Rio de Janeiro,7,0
000008228,Bruno Lima,5408.57,SUP,Curitiba,15,0
000007475,Yasmin Carvalho,24453.37,ADM,Londrina,30,1
000006285,Tiago Martins,3716.67,JUR,Belo Horizonte,9,0
000002738,Paula Rodrigues,19588.08,COM,Belo Horizonte,27,0
000005114,Joao Santos,18066.56,SUP,Joinville,11,0
000004238,Tatiane Lima,7121.71,FIN,Londrina,2,1
000001890,Mariana Lima,11690.23,OPER,Belo Horizonte,5,0
000004108,Diego Carvalho,13979.33,TI,Belo Horizonte,21,1
000008665,Joao Souza,13628.84,ADM,Porto Alegre,7,1
000005833,Caio Rodrigues,23677.57,JUR,Belo Horizonte,20,0
000004750,Leonardo Souza,1812.43,LOG,Belo Horizonte,18,1
000005865,Sabrina Teixeira,4137.67,FIN,Porto Alegre,31,1
000007620,Yasmin Almeida,4387.46,ADM,Campinas,8,1
000001394,Caio Araujo,19036.02,OPER,Campinas,23,0
000009723,Douglas Rodrigues,6672.77,JUR,Sao Paulo,6,0
000003285,Cecilia Teixeira,4592.22,OPER,Belo Horizonte,12,1
000002401,Gabriel Oliveira,23650.18,OPER,Florianopolis,19,1
000007924,Mariana Barbosa,18521.85,ADM,Rio de Janeiro,12,1
000003528,Renata Rodrigues,22484.81,SUP,Florianopolis,23,1
000007098,Cecilia Santos,22931.7,RH,Maringa,26,0
000001430,Karen Teixeira,8160.25,FIN,Porto Alegre,2,0
000003574,Mariana Melo,13284.6,SUP,Campinas,4,0
000007064,Henrique Rocha,10712.29,JUR,Londrina,17,0
000007225,Leonardo Silva,5512.07,TI,Joinville,0,1
000008105,Mateus Rocha,7804.96,TI,Porto Alegre,17,0
000006346,Karen Ferreira,2858.21,TI,Porto Alegre,2,0
000008245,Sabrina Lima,8074.09,ADM,Belo Horizonte,13,0
000000955,Ana Araujo,16478.24,LOG,Florianopolis,5,1
000007544,Igor Carvalho,22641.39,COM,Florianopolis,3,0
000007224,Bianca Ferreira,18747.06,COM,Rio de Janeiro,16,0
000008503,Pedro Ribeiro,4269.47,JUR,Porto Alegre,35,0
000003399,Henrique Ferreira,9322.9,TI,Joinville,25,0
000004538,Henrique Ferreira,18731.64,JUR,Florianopolis,9,1
000006606,Fernanda Martins,6011.11,FIN,Rio de Janeiro,12,1
000006876,Leonardo Almeida,2288.3,FIN,Rio de Janeiro,25,0
000006090,Eduardo Lima,3471.53,TI,Maringa,25,0
000006461,Nicole Lima,18660.94,ADM,Joinville,6,1
000003341,Diego Silva,4352.82,ADM,Curitiba,8,0
000006711,Fernanda Rodrigues,5109.15,OPER,Curitiba,0,0
000004927,Pedro Nascimento,21583.11,RH,Belo Horizonte,8,1
000000871,Samuel Gomes,20718.79,COM,Florianopolis,30,0
000000004,Paula Souza,14409.81,COM,Campinas,7,0
000003305,Carlos Santos,14435.7,RH,Campinas,26,0
000001142,Ana Ferreira,2356.82,JUR,Londrina,9,1
000003360,Douglas Almeida,7040.52,JUR,Sao Paulo,31,0
000009679,Helena Ferreira,4160.28,COM,Florianopolis,4,1
000007254,Helena Araujo,23221.01,RH,Curitiba,9,0
000000007,Giovana Rocha,9568.38,FIN,Londrina,9,1
000008813,Aline Almeida,9882.55,RH,Porto Alegre,31,1
000007926,Rafael Oliveira,20101.46,FIN,Rio de Janeiro,20,0
000006033,Diego Gomes,18535.17,MKT,Sao Paulo,7,1
000007918,Sabrina Lima,3898.37,FIN,Rio de Janeiro,24,1
000009311,Willian Martins,11632.9,JUR,Joinville,21,0
000002971,Douglas Ferreira,10689.9,SUP,Maringa,34,1
000004760,Pedro Barbosa,20856.58,JUR,Sao Paulo,26,0
000006574,Fernanda Ferreira,10191.66,TI,Curitiba,23,1
000009332,Igor Santos,3182.2,LOG,Florianopolis,8,1
000001553,Isabela Lima,21177.85,SUP,Londrina,15,0
000004881,Otavio Souza,19130.29,RH,Rio de Janeiro,24,0
000009108,Giovana Araujo,3054.73,RH,Joinville,4,1
000009454,Vitor Costa,2500.31,LOG,Rio de Janeiro,5,0
000008069,Eduardo Silva,15005.05,JUR,Rio de Janeiro,11,1
000001284,Igor Rocha,18006.68,COM,Maringa,26,1
000009277,Henrique Silva,8453.04,FIN,Curitiba,2,0
000007536,Mateus Costa,2052.13,JUR,Maringa,35,1
000003736,Samuel Rocha,8899.99,TI,Londrina,10,1
000005407,Fernanda Rocha,10559.4,FIN,Belo Horizonte,25,0
000004860,Otavio Melo,6061.7,SUP,Joinville,4,1
000000389,Joao Nascimento,16942.64,JUR,Londrina,10,0
000002394,Caio Carvalho,6317.75,RH,Sao Paulo,4,1
000002518,Vitor Nascimento,2450.73,COM,Rio de Janeiro,34,0
000006585,Eduardo Pereira,15652.97,COM,Belo Horizonte,35,0
000001472,Cecilia Souza,7375.78,RH,Joinville,2,1
000001001,Carlos Souza,9098.26,COM,Curitiba,22,1
000002734,Elisa Rocha,6321.3,JUR,Florianopolis,8,0
000009877,Yasmin Carvalho,22599.06,SUP,Sao Paulo,32,0
000009001,Bruno Ribeiro,20268.81,MKT,Joinville,2,1
000000913,Karen Lima,17631.08,RH,Sao Paulo,14,0
000005466,Douglas Lima,19636.76,FIN,Campinas,33,1
000007384,Henrique Lima,9665.28,LOG,Joinville,27,0
000002598,Diego Ferreira,6644.64,OPER,Joinville,4,0
000007637,Samuel Martins,4059.82,ADM,Rio de Janeiro,19,0
000009150,Larissa Santos,12351.54,FIN,Porto Alegre,10,0
000007124,Sabrina Ribeiro,10229.22,RH,Sao Paulo,11,1
000001360,Rafael Martins,24500.82,MKT,Rio de Janeiro,7,1
000009468,Carlos Araujo,21728.88,JUR,Londrina,8,1
000008195,Caio Rocha,21400.19,LOG,Florianopolis,5,1
000002781,Mateus Gomes,7897.6,ADM,Joinville,3,0
000002328,Renata Silva,5385.84,RH,Porto Alegre,24,0
000001672,Samuel Melo,21608.84,TI,Londrina,29,0
000007304,Bianca Gomes,12668.94,SUP,Maringa,6,0
000000835,Leonardo Santos,23085.08,JUR,Londrina,12,1
000009208,Yasmin Oliveira,9161.01,OPER,Maringa,13,1
000004684,Helena Rodrigues,12346.22,SUP,Rio de Janeiro,30,0
000009475,Cecilia Pereira,9228.33,ADM,Joinville,24,0
000001728,Caio Carvalho,24502.61,TI,Curitiba,13,0
000006510,Giovana Rodrigues,7648.05,FIN,Sao Paulo,9,0
000008799,Sabrina Melo,3695.65,MKT,Londrina,33,0
000002678,Rafael Costa,21068.74,RH,Londrina,21,1
000009613,Karen Pereira,9903.21,JUR,Maringa,30,0
000001621,Giovana Araujo,22972.27,OPER,Londrina,0,0
000006219,Eduardo Ribeiro,16103.09,LOG,Florianopolis,0,0
000001915,Isabela Lima,13387.14,LOG,Sao Paulo,26,1
000000343,Nicole Silva,24727.14,FIN,Maringa,6,0
000000388,Nathan Pereira,11548.09,SUP,Rio de Janeiro,24,0
000004273,Bianca Pereira,23895.14,OPER,Curitiba,23,1
000004878,Bruno Almeida,22602.39,SUP,Sao Paulo,31,1
000002303,Fabio Carvalho,9960.11,SUP,Londrina,33,1
000007883,Helena Costa,12444.71,LOG,Rio de Janeiro,35,0
000000227,Pedro Carvalho,10652.27,JUR,Porto Alegre,6,0
000001252,Gabriel Oliveira,16871.29,OPER,Londrina,6,1
000006485,Aline Barbosa,4113.09,MKT,Campinas,2,1
000008496,Fabio Pereira,6970.8,MKT,Campinas,24,0
000007716,Mariana Martins,23852.79,LOG,Maringa,26,1
000005631,Ana Araujo,19946.95,SUP,Porto Alegre,17,1
000004620,Vanessa Carvalho,17420.58,ADM,Londrina,2,0
000009671,Bruno Lima,20139.83,SUP,Joinville,20,1
000000405,Karen Ribeiro,24833.64,TI,Campinas,25,0
000004624,Aline Melo,21022.36,OPER,Londrina,8,1
000003186,Leonardo Melo,22776.78,SUP,Rio de Janeiro,27,0
000004362,Gabriel Lima,13498.76,OPER,Londrina,16,0
000002602,Willian Pereira,3963.5,ADM,Londrina,0,0
000006496,Bruno Teixeira,18215.76,RH,Joinville,24,0
000005879,Igor Gomes,16519.55,LOG,Rio de Janeiro,15,0
000004877,Vanessa Pereira,14221.68,TI,Londrina,16,0
000004283,Sabrina Oliveira,23491.44,ADM,Joinville,6,0
000002074,Isabela Teixeira,4646.28,FIN,Porto Alegre,16,0
000008789,Fernanda Oliveira,13266.49,LOG,Belo Horizonte,25,0
000001495,Larissa Silva,11398.89,MKT,Sao Paulo,13,1
000007909,Diego Nascimento,16498.4,MKT,Rio de Janeiro,11,1
000004122,Ana Costa,17104.26,OPER,Curitiba,7,1
000006084,Bianca Martins,24882.05,OPER,Campinas,0,0
000000063,Nicole Rodrigues,23296.73,TI,Joinville,1,0
000003079,Nicole Rocha,19454.29,TI,Florianopolis,7,0
000006787,Bruno Nascimento,5014.71,RH,Rio de Janeiro,17,1
000001177,Joao Pereira,23914.92,LOG,Campinas,18,1
000001253,Larissa Carvalho,13693.63,JUR,Belo Horizonte,16,0
000003311,Mariana Rodrigues,24115.41,RH,Joinville,19,0
000000012,Nathan Martins,11856.54,MKT,Londrina,17,1
000008746,Aline Santos,15889.26,JUR,Belo Horizonte,22,1
000000544,Cecilia Oliveira,12226.16,ADM,Campinas,16,1
000002161,Tiago Teixeira,20979.12,SUP,Florianopolis,25,0
000005328,Helena Costa,20569.74,JUR,Rio de Janeiro,22,0
000001903,Eduardo Pereira,17041.35,LOG,Rio de Janeiro,20,0
000005484,Ana Nascimento,17768.38,LOG,Belo Horizonte,29,1
000000276,Otavio Barbosa,3336.66,COM,Joinville,13,0
000002666,Gabriel Barbosa,8250.72,OPER,Sao Paulo,26,1
000000735,Willian Nascimento,6397.09,ADM,Maringa,31,0
000003668,Sabrina Carvalho,4566.81,MKT,Rio de Janeiro,20,1
000000198,Paula Ribeiro,2293.43,ADM,Joinville,0,1
000004548,Tiago Lima,21326.11,JUR,Curitiba,34,0
000001870,Yasmin Silva,3411.34,RH,Londrina,19,1
000004393,Willian Araujo,11087.99,SUP,Florianopolis,31,0
000008315,Elisa Almeida,17957.8,MKT,Maringa,7,1
000007765,Aline Santos,2479.49,ADM,Curitiba,8,0
000002435,Willian Carvalho,7051.12,RH,Belo Horizonte,23,0
000006716,Daniela Rodrigues,22293.01,ADM,Sao Paulo,3,1
000000766,Eduardo Rodrigues,9440.43,OPER,Londrina,17,0
000000915,Igor Ribeiro,12488.1,FIN,Florianopolis,9,1
000001038,Cecilia Gomes,17303.06,SUP,Campinas,15,1
000000235,Larissa Rodrigues,9268.34,MKT,Belo Horizonte,5,1
000008100,Tiago Oliveira,9989.82,TI,Belo Horizonte,4,0
000000428,Larissa Souza,6729.43,TI,Maringa,24,0
000000070,Larissa Santos,9698.44,OPER,Campinas,32,1
000001977,Vanessa Gomes,17002.71,SUP,Sao Paulo,8,0
000006276,Caio Melo,24421.5,OPER,Campinas,12,1
000004354,Mariana Oliveira,8245.85,FIN,Porto Alegre,6,0
000003127,Isabela Santos,19084.6,TI,Curitiba,29,0
000001175,Sabrina Silva,12848.78,SUP,Maringa,22,1
000005578,Helena Barbosa,3750.35,JUR,Belo Horizonte,9,1
000007751,Mateus Carvalho,13583.9,ADM,Maringa,17,1
000004426,Gabriel Souza,16848.02,JUR,Belo Horizonte,18,0
000000678,Elisa Costa,15581.94,SUP,Joinville,31,1
000002542,Gabriel Souza,16795.2,RH,Belo Horizonte,7,0
000008978,Carlos Ribeiro,7975.34,RH,Campinas,6,1
000009762,Otavio Teixeira,18028.68,JUR,Londrina,25,0
000007823,Otavio Rodrigues,13287.98,FIN,Belo Horizonte,22,1
000006493,Vitor Almeida,18826.07,RH,Rio de Janeiro,32,1
000004269,Vanessa Ferreira,5749.4,RH,Rio de Janeiro,11,1
000001460,Isabela Lima,24124.04,MKT,Londrina,21,0
000005181,Leonardo Rodrigues,22245.17,FIN,Curitiba,22,1
000001028,Tatiane Silva,13128.73,TI,Maringa,7,0
000007959,Bruno Ribeiro,17577.07,COM,Belo Horizonte,33,0
000009371,Juliana Santos,4119.83,LOG,Maringa,31,1
000001936,Pedro Rodrigues,17191.08,COM,Florianopolis,29,0
000000802,Bianca Almeida,18275.65,SUP,Joinville,30,0
000006539,Sabrina Rocha,18694.6,ADM,Rio de Janeiro,26,0
000004260,Juliana Araujo,13349.71,TI,Joinville,27,1
000004146,Nathan Oliveira,6297.14,JUR,Sao Paulo,17,1
000001634,Nicole Costa,7955.18,LOG,Florianopolis,25,1
000004217,Sabrina Almeida,6221.29,OPER,Campinas,21,0
000000557,Giovana Gomes,14946.57,LOG,Porto Alegre,7,0
000004610,Larissa Lima,12618.57,FIN,Campinas,18,0
000000930,Vanessa Martins,8487.63,COM,Curitiba,29,0
000007563,Nathan Almeida,20950.92,RH,Curitiba,31,1
000009894,Ana Carvalho,9972.33,ADM,Curitiba,16,0
000005801,Bianca Almeida,20018.11,SUP,Campinas,9,0
000002559,Sabrina Lima,24905.21,TI,Londrina,5,1
000007334,Otavio Souza,12777.72,LOG,Belo Horizonte,24,1
000001677,Elisa Santos,22518.38,COM,Joinville,19,0
000002544,Samuel Carvalho,17551.02,LOG,Joinville,8,0
000004297,Rafael Lima,11458.45,TI,Porto Alegre,19,0
000008815,Vanessa Ribeiro,23309.15,MKT,Campinas,11,1
000005982,Giovana Santos,5015.75,MKT,Florianopolis,32,1
000000292,Isabela Araujo,11721.92,JUR,Londrina,29,0
000004302,Renata Silva,24013.81,JUR,Sao Paulo,8,1
000004263,Paula Ribeiro,13683.2,FIN,Joinville,34,1
000008420,Daniela Melo,4721.71,ADM,Maringa,33,1
000006271,Daniela Oliveira,3068.87,RH,Florianopolis,6,1
000003762,Samuel Martins,17821.76,ADM,Sao Paulo,32,0
000001649,Nathan Rocha,5144.32,MKT,Rio de Janeiro,14,0
000007310,Vanessa Almeida,18484.1,ADM,Maringa,12,0
000002859,Eduardo Silva,5350.11,RH,Campinas,6,0
000000966,Nathan Santos,12790.82,SUP,Maringa,25,0
000006901,Helena Almeida,11185.73,FIN,Belo Horizonte,34,1
000007703,Aline Gomes,21736.08,OPER,Sao Paulo,27,0
000004972,Cecilia Silva,6087.54,TI,Rio de Janeiro,32,0
000009558,Joao Martins,8528.84,RH,Joinville,31,1
000002130,Sabrina Melo,10751.04,RH,Maringa,26,1
000001549,Juliana Silva,8375.4,RH,Joinville,24,0
000001570,Tatiane Almeida,2590.74,OPER,Maringa,2,1
000002393,Igor Gomes,22272.24,MKT,Porto Alegre,0,0
000001481,Bianca Rocha,21655.48,SUP,Belo Horizonte,22,1
000003358,Mateus Oliveira,5848.33,FIN,Florianopolis,21,1
000006238,Igor Rodrigues,20011.09,COM,Londrina,4,1
000002756,Diego Martins,15855.53,FIN,Joinville,32,1
000004044,Igor Nascimento,15461.37,OPER,Florianopolis,25,0
